"sample-id","bird_sex","bird_age","num_mites_feather","num_mites_total","paired_for_electivity","VS_electivity_k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Cladosporiaceae.g__Cladosporium","VS_electivity_k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Trichomeriaceae.g__Trichomerium","VS_electivity_k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hyphodontiaceae.g__Kneiffiella","VS_electivity_k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Capnodiales.f__Neodevriesiaceae.g__Neodevriesia","VS_electivity_k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum","VS_electivity_k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Phaeosphaeriaceae.g__Leptospora","VS_electivity_k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Mycosphaerellales.f__Mycosphaerellaceae.g__Ramularia","VS_electivity_k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Hymenochaetales_fam_Incertae_sedis.g__Trichaptum","VS_electivity_k__Fungi.p__Ascomycota.c__Taphrinomycetes.o__Taphrinales.f__Taphrinaceae.g__Taphrina","VS_electivity_k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Pleosporaceae.g__Alternaria","VS_electivity_AVERAGE"
"P01","Male","ASY",54,510,"yes",0.26550068095474,-1,"NA",-1,-1,-1,-1,-1,-1,0.992129579669475,-0.638041082152865
"P02","Male","ASY",49,164,"yes",0.970476935261,-1,"NA",-1,-1,-1,-1,-1,-1,0.995737937320961,-0.559309458602004
"P05","Male","ASY",41,269,"yes",0.425627402688135,-1,"NA",-1,-1,-1,0.931898568367156,-1,-1,-1,-0.626941558771634
"P07","Female","SY",15,204,"yes",0.585947304683609,-1,"NA",-1,-1,-1,-1,-1,-1,-1,-0.823783632812932
"P11","Female","ASY",93,263,"yes",0.922286450892111,-1,"NA",0.976904676609249,-1,-1,-1,"NA",0.993495101672456,-1,-0.263414221353273
"P12","Female","ASY",41,318,"yes",-1,-1,"NA",-1,-1,-1,-1,-1,-1,0.996268656716418,-0.778192371475954
"P14","Female","SY",267,688,"yes",-1,-1,"NA",0.814921912566897,-1,-1,-1,-1,0.848772689569329,-1,-0.592922821984864
"P16","Female","ASY",35,125,"yes",0.958849907621984,-1,"NA",0.802958569381591,-1,0.993883307199643,-1,-1,-1,0.982497250482263,-0.14020121836828
"P17","Male","SY",63,170,"yes",-0.039418697920091,-1,-1,-1,-1,-1,0.893966766155345,-1,-1,-1,-0.714545193176475
"P18","Male","ASY",79,491,"yes",-0.430746513371283,-1,"NA",0.460202745877582,-1,-1,-1,-1,-1,0.958615779592998,-0.556880887544522
"P19","Male","U",6,19,"yes",-0.983049049428207,-1,"NA",-1,-1,-1,-1,-1,-1,-1,-0.998116561047578
"P20","Female","SY",37,257,"yes",-0.811723262430824,-1,"NA",-1,-1,-1,-1,-1,-1,-1,-0.979080362492314
"P21","Female","ASY",44,136,"yes",0.886103957854622,-1,"NA",-1,"NA",-1,-1,-1,-1,"NA",-0.73055657744934
"P22","Female","SY",1,38,"yes",-1,-1,"NA",-1,-1,"NA",-1,-1,-1,0.968537278389894,-0.753932840201263
"P23","Female","SY",6,41,"yes",0.900048963603717,-1,"NA",-1,"NA",-1,-1,-1,-1,-1,-0.762493879549535
"P24","Female","ASY",76,663,"yes",0.775108550811,-1,"NA",0.894699042584599,-1,-1,0.772770868983785,-1,-1,-1,-0.395269059735624
"P26","Male","SY",90,150,"yes",-1,-1,"NA",-1,-1,-1,-1,-1,-1,-1,-1
"P27","Male","SY",7,182,"yes",0.044803959708718,-1,"NA",0.491835789971962,-1,-1,0.007467841857872,-1,-1,0.647148425395596,-0.423193775896206
"P28","Male","SY",12,70,"yes",-0.000402107529043,0.840057651531416,"NA",-1,-1,-1,-1,"NA",-1,0.965709568222851,-0.399329360971847
"P29","Female","ASY",1,24,"yes",0.733513000980757,-1,"NA",-1,-1,-1,-1,-1,-1,0.923316164727161,-0.593685648254676
