"SampleID","k__Fungi.p__Basidiomycota","k__Fungi.p__Ascomycota","k__Fungi.p__Mortierellomycota","k__Fungi.p__Rozellomycota","k__Fungi.p__Mucoromycota","k__Fungi.p__Blastocladiomycota","k__Fungi.p__Chytridiomycota","k__Fungi.__combo"
"PF01",0.152323976069949,0.749194661757938,0,0,0,0,0,0.0984813621721123
"PF02",0.0435575364667747,0.901539708265802,0,0,0,0,0,0.054902755267423
"PF04",0.0478561549100968,0.887413554633472,0,0,0,0,0,0.0647302904564315
"PF05",0.0637048634895782,0.858303160778941,0.000587141598982288,0,0,0,0,0.0774048341324983
"PF06",0.098825831702544,0.868884540117417,0,0,0,0,0,0.0322896281800391
"PF07",0.062536023054755,0.83371757925072,0,0,0,0,0,0.103746397694524
"PF08",0.111350574712644,0.829022988505747,0.0021551724137931,0,0.00790229885057471,0,0,0.0495689655172414
"PF09",0.0218579234972678,0.945355191256831,0,0,0,0,0,0.0327868852459016
"PF11",0.0446452298697847,0.882274780760032,0,0,0,0,0,0.0730799893701834
"PF12",0.0736529906080079,0.867523479980227,0,0,0,0,0,0.0588235294117647
"PF14",0.0265793528505393,0.940292758089368,0,0,0,0,0,0.0331278890600925
"PF15",0.00576923076923077,0.955769230769231,0,0,0,0,0,0.0384615384615385
"PF16",0.0267182281596063,0.944629987695553,0,0,0,0,0,0.0286517841448409
"PF17",0.38695634967747,0.580671969607028,0.000593612727056868,0,0,0,0,0.0317780679884443
"PF18",0.072646404744255,0.824314306893996,0,0,0,0,0,0.103039288361749
"PF19",0.0273814592606929,0.935405457712406,0,5.41900522546932e-05,0.000255467389200697,0,0,0.0369034255854461
"PF20",0.0316682600382409,0.904367829827916,0.000248964308476737,0,0,0,0,0.0637149458253665
"PF21",0.0245055889939811,0.930997420464316,0,0,0,0,0,0.0444969905417025
"PF22",0.0373586760609536,0.764705882352941,0,0,0,0,0,0.197935441586105
"PF23",0.0512065921130077,0.892289582107122,0,0,0,0,0,0.0565038257798705
"PF24",0.0133761769541175,0.910700941563294,0,0,0,0,0,0.0759228814825886
"PF26",0.0291042291042291,0.885914085914086,0,0,0,0,0.000732600732600733,0.0842490842490843
"PF27",0.01329678977504,0.946025888035603,0,0,0,0,0,0.0406773221893571
"PF28",0.0251635631605435,0.875524240899178,0,0,0,0,0,0.0993121959402785
"PF29",0.0145950328838704,0.901138172317487,0,9.00927955794468e-05,0,0,0,0.0841767020030632
"PM01",0.355778894472362,0.628140703517588,0,0,0,0,0,0.0160804020100503
"PM02",0.259259259259259,0.740740740740741,0,0,0,0,0,0
"PM05",0.126693227091633,0.772111553784861,0,0,0,0,0,0.101195219123506
"PM07",0.626598465473146,0.373401534526854,0,0,0,0,0,0
"PM10",0.242857142857143,0.757142857142857,0,0,0,0,0,0
"PM11",0.219146482122261,0.592848904267589,0,0,0,0,0,0.18800461361015
"PM12",0.246598639455782,0.753401360544218,0,0,0,0,0,0
"PM14",0.115421002838221,0.814569536423841,0,0,0,0,0,0.0700094607379376
"PM16",0.170027247956403,0.815803814713896,0.0141689373297003,0,0,0,0,0
"PM17",0.0306006800151114,0.896108802417832,0,0,0,0,0,0.073290517567057
"PM18",0.284440842787682,0.673419773095624,0,0,0,0,0,0.0421393841166937
"PM19",0.156213017751479,0.843786982248521,0,0,0,0,0,0
"PM20",0.159126365054602,0.807332293291732,0,0,0,0,0,0.0335413416536661
"PM21",0.0629770992366412,0.937022900763359,0,0,0,0,0,0
"PM22",0.279693486590038,0.720306513409962,0,0,0,0,0,0
"PM23",0.255627009646302,0.744372990353698,0,0,0,0,0,0
"PM24",0.310509554140127,0.511146496815287,0,0,0,0.127388535031847,0,0.0509554140127389
"PM25",0.0428954423592493,0.957104557640751,0,0,0,0,0,0
"PM26",0.1578073089701,0.663621262458472,0,0,0,0,0,0.178571428571429
"PM27",0.0124506903353057,0.682445759368836,0,0,0,0,0,0.305103550295858
"PM28",0.236447520184544,0.277970011534025,0,0,0,0,0,0.48558246828143
"PM29",0.129675810473815,0.842892768079801,0,0,0,0,0,0.027431421446384
"PM30",0.00223095718686922,0.997131626474025,0,0,0,0,0,0.000637416339105492
